113.72,92,82,80,94,90
113.721,90,94,90,90,96
113.774,78,94,90,88,90
113.791,82,88,84,92,94
113.798,80,92,94,90,88
113.9055,88,86,94,84,86
114.4325,90,98,90,88,94
115.1335,90,90,96,86,90
115.148,92,90,86,90,90
115.2315,88,88,94,96,90
115.4405,86,94,94,96,92
115.4465,94,86,94,98,96
115.477,94,88,98,98,84
115.61149999999999,84,88,90,86,92
115.6485,90,94,94,94,94
115.692,86,90,94,94,88
115.707,86,94,94,100,94
115.7145,94,94,96,92,96
115.7225,92,96,92,92,86
115.84049999999999,94,94,94,98,92
115.8725,86,84,90,90,92
115.8815,90,98,98,92,88
115.93599999999999,94,98,98,84,94
116.4275,84,88,88,96,92
116.47149999999999,90,94,90,96,80
116.473,84,94,82,94,82
116.48649999999999,70,76,74,68,68
116.487,86,82,80,78,86
116.4885,60,84,76,70,80
