0.0,83.0,326.0,871.03465649
2.0,78.0,291.0,871.03465602
4.0,75.0,278.0,871.03465624
6.0,76.0,290.0,871.03465634
8.0,74.0,276.0,871.03465626
10.0,77.0,292.0,871.03465632
12.0,68.0,245.0,871.03465632
14.0,71.0,274.0,871.03465615
16.0,74.0,295.0,871.03465613
18.0,62.0,231.0,871.03465665
20.0,52.0,211.0,871.03465603
22.0,50.0,202.0,871.03465627
24.0,59.0,198.0,871.03465651
26.0,48.0,192.0,871.03465649
28.0,48.0,198.0,871.0346562
30.0,39.0,152.0,871.03465621
32.0,44.0,173.0,871.03465644
34.0,38.0,142.0,871.03465664
36.0,40.0,140.0,871.03465629
38.0,27.0,92.0,871.03465614
40.0,28.0,103.0,871.03465664
42.0,36.0,140.0,871.03465641
44.0,29.0,96.0,871.03465625
46.0,20.0,76.0,871.03465679
48.0,25.0,87.0,871.03465651
50.0,13.0,53.0,871.03465631
52.0,26.0,94.0,871.0346565
54.0,26.0,101.0,871.03465648
56.0,25.0,102.0,871.03465636
58.0,28.0,107.0,871.03465642
60.0,27.0,111.0,871.03465626
62.0,24.0,92.0,871.03465638
64.0,45.0,180.0,871.03465652
66.0,41.0,160.0,871.03465656
68.0,46.0,181.0,871.03465633
70.0,46.0,176.0,871.03465613
72.0,56.0,237.0,871.0346561
74.0,58.0,240.0,871.03465599
76.0,54.0,227.0,871.03465593
78.0,73.0,303.0,871.0346564
80.0,74.0,298.0,871.03465606
82.0,79.0,294.0,871.0346561
84.0,74.0,293.0,871.03465619
86.0,72.0,285.0,871.03465646
88.0,67.0,242.0,871.03465623
90.0,76.0,261.0,871.03465629
92.0,73.0,288.0,871.03465634
94.0,72.0,255.0,871.03465607
96.0,81.0,297.0,871.03465653
98.0,77.0,315.0,871.03465629
100.0,76.0,292.0,871.03465631
102.0,80.0,287.0,871.03465622
104.0,80.0,300.0,871.03465629
106.0,78.0,296.0,871.03465631
108.0,78.0,290.0,871.03465657
110.0,70.0,256.0,871.03465623
112.0,62.0,234.0,871.03465662
114.0,65.0,230.0,871.03465632
116.0,63.0,222.0,871.03465593
118.0,53.0,220.0,871.03465606
120.0,50.0,177.0,871.03465624
122.0,39.0,150.0,871.03465654
124.0,47.0,194.0,871.03465646
126.0,48.0,171.0,871.03465603
128.0,48.0,187.0,871.03465601
130.0,32.0,147.0,871.03465613
132.0,41.0,153.0,871.03465616
134.0,33.0,124.0,871.03465685
136.0,33.0,126.0,871.03465623
138.0,32.0,117.0,871.03465627
140.0,38.0,139.0,871.03465643
142.0,31.0,121.0,871.03465628
144.0,27.0,124.0,871.03465594
146.0,29.0,105.0,871.0346564
148.0,30.0,105.0,871.03465636
150.0,29.0,107.0,871.03465635
152.0,35.0,131.0,871.03465592
154.0,34.0,126.0,871.03465621
156.0,38.0,131.0,871.03465635
158.0,36.0,138.0,871.03465661
160.0,42.0,148.0,871.03465643
162.0,40.0,151.0,871.03465638
164.0,42.0,161.0,871.03465646
166.0,45.0,171.0,871.03465653
168.0,50.0,188.0,871.03465625
170.0,49.0,204.0,871.03465666
172.0,47.0,187.0,871.03465631
174.0,53.0,199.0,871.03465636
176.0,64.0,241.0,871.03465625
178.0,66.0,251.0,871.03465653
180.0,58.0,229.0,871.03465624
182.0,67.0,244.0,871.03465606
184.0,60.0,239.0,871.03465635
186.0,70.0,267.0,871.03465618
188.0,66.0,259.0,871.03465653
190.0,63.0,244.0,871.03465635
192.0,70.0,274.0,871.0346564
194.0,65.0,243.0,871.0346562
196.0,64.0,241.0,871.03465637
198.0,76.0,315.0,871.03465622
