318.523,1119.6,1145,1191,1072,1110,1080,94,99,93,97,96
318.857,863,870,886,805,882,872,74,79,77,71,75
318.874,871.8,869,901,909,847,833,73,77,77,79,75
318.886,820.2,865,865,799,803,769,73,78,71,69,68
318.887,827.8,812,830,809,855,833,73,73,72,75,75
318.89,741.6,761,741,714,769,723,68,65,71,74,68
318.894,797.8,930,706,760,785,808,81,65,68,75,75
318.897,827.8,723,856,786,885,889,67,76,70,73,76
318.9,798.4,742,788,851,858,753,66,75,78,74,71
318.903,787,784,737,718,807,889,74,71,64,74,72
318.907,749.2,656,726,732,828,804,61,65,66,75,75
318.908,770.8,839,710,734,782,789,75,65,69,72,68
318.909,761.4,739,743,795,783,747,69,63,68,69,64
318.911,747.2,686,744,750,768,788,62,69,67,70,69
318.912,785.6,843,861,804,734,686,73,74,71,63,64
318.913,766.4,773,816,745,783,715,70,70,71,65,64
318.915,744.6,835,701,721,806,660,71,63,62,70,58
318.916,810,772,852,851,750,825,64,77,73,66,69
318.917,817.8,775,817,901,752,844,71,69,73,63,73
318.918,787,808,825,794,726,782,68,68,72,67,70
318.924,821.8,846,791,797,868,807,72,72,71,77,73
318.925,789.2,805,806,804,772,759,74,70,70,67,66
318.927,798.6,786,746,759,827,875,69,66,74,72,67
318.929,768.4,823,732,824,734,729,78,64,74,66,68
318.931,762.6,859,786,737,663,768,78,72,69,59,66
318.932,791.6,863,705,760,846,784,76,64,71,78,73
318.933,736.6,757,716,708,735,767,70,70,64,70,74
318.937,765.8,697,759,705,867,801,66,65,64,77,68
318.939,767.4,787,796,771,751,732,72,72,73,74,69
318.94,851.8,824,748,843,977,867,80,71,77,82,79
318.942,784,875,834,732,778,701,76,76,71,70,65
318.945,790.4,788,745,819,798,802,68,71,74,70,72
318.95,789.4,781,833,758,835,740,70,77,71,79,71
318.962,774.8,843,875,623,847,686,79,75,59,73,66
318.966,786,747,823,802,809,749,72,75,74,73,72
318.971,820.8,809,763,821,883,828,74,74,70,80,78
318.975,776.8,711,815,766,835,757,72,77,75,70,71
318.994,918.4,858,865,946,915,1008,84,77,84,81,89
319.403,692.6,609,727,724,668,735,60,71,65,65,70
319.404,1023.8,825,1085,1159,1023,1027,78,100,99,93,93
319.408,857,837,810,909,878,851,78,71,76,85,76
319.448,832.8,775,836,868,831,854,77,79,77,76,80
319.464,904.4,944,917,887,947,827,84,86,86,84,76
319.475,853.4,846,875,818,866,862,80,79,71,80,78
319.49,736.2,646,673,765,791,806,62,69,77,79,77
319.506,797.6,812,843,760,775,798,79,81,76,75,71
319.51,807.4,795,726,849,803,864,78,73,80,75,77
319.513,824.8,799,773,891,855,806,76,71,79,79,72
319.519,815.4,853,772,855,766,831,81,70,79,80,72
319.52,749.4,840,697,795,654,761,75,73,80,72,71
319.522,786.6,825,752,704,871,781,74,73,67,77,70
319.523,826.2,779,800,758,966,828,73,75,72,82,73
319.526,756.6,877,715,782,719,690,75,67,72,73,76
319.538,807,864,826,693,801,851,75,73,69,78,76
319.541,800.4,828,832,753,712,877,76,71,68,70,80
319.544,765.6,678,834,804,770,742,67,75,79,79,70
319.548,782,731,961,777,727,714,68,83,72,71,68
319.551,780,802,785,826,779,708,75,75,74,73,66
319.554,747.8,796,718,713,750,762,75,64,67,73,71
319.557,783,796,828,729,811,751,76,78,73,75,71
319.56,744.6,777,671,746,709,820,77,69,68,72,78
319.566,778,813,784,751,759,783,77,69,72,71,74
319.567,717.8,769,647,749,783,641,76,70,70,71,59
319.569,716.2,661,816,734,707,663,73,79,72,71,70
319.571,755.8,767,795,684,784,749,71,75,66,73,70
319.572,786.4,844,882,722,689,795,72,77,69,68,74
319.575,693.6,696,730,720,649,673,66,72,64,66,68
319.578,718.4,779,854,597,669,693,74,77,62,69,73
319.581,688.6,731,631,641,696,744,74,71,68,66,73
319.591,704.2,718,778,693,629,703,67,75,68,64,69
319.593,760,850,718,796,723,713,75,71,72,69,67
319.594,679.6,697,708,678,642,673,71,72,68,68,70
319.596,738.8,732,733,696,700,833,70,71,66,74,79
319.597,726.4,768,629,788,689,758,70,68,74,64,69
319.601,722.8,640,764,804,758,648,66,72,75,71,69
319.602,695.4,667,634,685,705,786,67,70,70,66,68
319.604,682.6,692,703,604,735,679,73,68,68,75,69
319.605,703.6,690,704,707,685,732,68,69,69,71,66
319.606,760,714,864,752,780,690,65,80,74,73,70
319.607,686,678,725,673,740,614,64,72,66,71,63
319.608,704.6,792,620,727,692,692,70,59,66,69,68
319.61,732.8,734,788,641,755,746,73,73,60,71,68
319.611,786.8,862,739,816,741,776,75,70,88,69,70
319.612,736,891,756,739,685,609,83,66,71,62,62
319.614,735,742,783,730,735,685,63,70,63,70,65
319.616,729.6,716,601,850,681,800,71,59,77,67,71
319.617,719,670,706,738,733,748,63,67,71,73,73
319.618,652.2,619,622,629,746,645,62,61,65,68,63
319.619,682.2,767,685,637,670,652,75,65,65,66,64
319.62,634,574,622,670,676,628,62,62,69,63,62
319.622,766,755,761,705,814,795,73,72,74,71,72
319.623,682,696,645,684,676,709,61,66,62,59,68
319.625,722.6,800,673,649,706,785,70,63,68,67,68
319.626,709.2,728,550,855,687,726,68,55,77,68,67
319.628,737.4,769,800,676,727,715,73,74,67,67,66
319.629,701.8,713,774,625,718,679,68,68,64,65,66
319.63,719.2,711,690,722,782,691,71,66,73,68,73
319.631,779.2,899,775,645,788,789,72,69,60,72,75
319.632,689.6,734,727,772,629,586,67,69,76,63,61
319.634,741.6,707,751,728,767,755,73,69,71,72,73
319.639,761.2,832,725,737,776,736,77,67,73,67,71
319.642,739.6,692,782,807,704,713,66,72,78,65,62
319.647,647.8,717,785,791,43,903,67,77,74,4,81
319.66,769,761,772,803,742,767,76,73,78,73,78
320.103,840.6,898,787,819,884,815,81,70,77,77,77
320.106,812.4,880,840,863,766,713,76,77,74,76,69
