111.448,92,378,871.0349212,,,
111.4485,92,331,871.0349214,,,
111.449,88,328,871.0349216,,,
111.4495,90,364,871.0349216,,,
111.45,96,395,871.0349213,,,
111.4505,94,344,871.0349211,,,
111.451,92,347,871.0349214,,,
111.4515,92,369,871.0349214,,,
111.452,94,370,871.0349214,,,
111.4525,94,423,871.0349215,,,
111.453,94,377,871.0349212,,,
111.4535,96,362,871.0349215,,,
111.454,96,386,871.0349215,,,
111.4545,98,360,871.0349216,,,
111.455,96,377,871.0349215,,,
111.4555,94,406,871.0349217,,,
111.456,88,280,871.0349215,,,
111.4565,94,371,871.0349217,,,
111.457,96,384,871.0349213,,,
111.4575,100,385,871.0349214,,,
111.458,94,398,871.0349212,,,
111.4585,92,401,871.0349217,,,
111.459,98,368,871.0349218,,,
111.4595,90,349,871.0349209,,,
111.46,96,405,871.034921,,,
111.4605,98,395,871.0349213,,,
111.461,92,347,871.0349213,,,
111.4615,94,372,871.0349214,,,
111.462,98,411,871.0349211,,,
111.4625,94,391,871.0349214,,,
111.463,96,400,871.0349217,,,
111.4635,96,431,871.0349213,,,
111.464,98,398,871.0349217,,,
111.4645,90,344,871.0349214,,,
111.465,98,403,871.0349213,,,
111.4655,98,368,871.0349215,,,
111.466,100,418,871.0349211,,,
111.4665,96,383,871.0349214,,,
111.467,96,396,871.0349211,,,
111.4675,100,400,871.0349218,,,
111.468,96,392,871.0349215,,,
111.4685,98,411,871.0349215,,,
111.469,94,381,871.0349213,,,
111.4695,92,323,871.0349213,,,
111.47,90,335,871.0349213,,,
111.4705,96,377,871.0349214,,,
111.471,92,408,871.0349218,,,537
111.4715,94,361,871.0349214,,,
111.472,96,388,871.0349216,,,
111.4725,94,409,871.0349213,,,
111.473,92,399,871.0349213,,,
111.4735,94,382,871.0349211,,,
111.474,96,392,871.0349213,,,
111.4745,96,419,871.0349215,,,
111.475,96,392,871.0349216,,,
111.4755,96,407,871.0349214,,,
111.476,94,425,871.0349213,,,
111.4765,96,403,871.0349215,,,
111.477,92,384,871.0349211,,,
111.4775,86,351,871.0349209,,,
111.478,90,353,871.0349215,,,
111.4785,94,407,871.0349212,,,
111.479,96,378,871.0349213,,,
111.4795,100,406,871.0349216,,,
111.48,98,388,871.0349216,,,
111.4805,98,395,871.0349215,,,
111.481,94,388,871.0349215,,,
111.4815,92,354,871.0349216,,,
111.482,98,417,871.0349211,,,
111.4825,96,394,871.034921,,,
111.483,94,339,871.0349214,,,
111.4835,98,377,871.0349217,,,
111.484,98,406,871.0349215,,,
111.4845,92,383,871.0349213,,,
111.485,84,319,871.0349215,,,
111.4855,90,388,871.0349215,,,
111.486,90,354,871.0349214,,,
111.4865,94,363,871.0349213,,,
111.487,100,390,871.0349212,,,
111.4875,92,393,871.0349211,,,
111.488,98,382,871.0349213,,,
111.4885,94,362,871.0349214,,,
111.489,92,362,871.0349212,,,
111.4895,100,420,871.0349212,,,
111.49,98,401,871.0349213,,,
111.4905,96,356,871.0349214,,,
111.491,94,382,871.0349216,,,
111.4915,96,383,871.0349214,,,
111.492,94,399,871.0349209,,,
111.4925,88,328,871.0349215,,,
111.493,92,364,871.0349214,,,
111.4935,96,391,871.0349214,,,
111.494,94,393,871.0349215,,,
111.4945,92,355,871.0349211,,,
111.495,96,324,871.0349213,,,
111.4955,94,388,871.0349214,,,
111.496,98,406,871.0349212,,,
111.4965,96,371,871.0349213,,,
111.497,92,388,871.0349213,,,
111.4975,96,382,871.0349211,,,
111.498,98,395,871.0349214,,,
111.4985,94,359,871.0349216,,,
111.499,98,390,871.0349213,,,
111.4995,96,413,871.0349212,,,
111.5,98,394,871.0349211,,,
111.5005,94,382,871.0349213,,,
111.501,94,411,871.0349216,,,
111.5015,92,344,871.0349214,,,
111.502,96,369,871.0349216,,,
111.5025,96,402,871.0349214,,,
111.503,92,381,871.0349217,,,
111.5035,92,336,871.0349216,,,
111.504,98,378,871.0349214,,,
111.5045,100,431,871.034921,,,
111.505,94,390,871.0349214,,,
111.5055,92,390,871.034921,,,
111.506,92,360,871.0349214,,,
111.5065,96,402,871.0349216,,,
111.507,98,379,871.0349213,,,
111.5075,98,407,871.0349213,,,
111.508,92,345,871.034921,,,
111.5085,96,367,871.034921,,,
111.509,98,373,871.0349209,,,
111.5095,98,337,871.0349213,,,
111.51,90,369,871.0349214,,,
111.5105,94,369,871.0349208,,,
111.511,96,385,871.0349208,,,
111.5115,98,371,871.0349213,,,
111.512,96,424,871.0349214,,,
111.5125,94,351,871.0349209,,,
111.513,98,385,871.0349212,,,
111.5135,100,393,871.0349214,,,
111.514,92,394,871.0349214,,,
111.5145,96,412,871.0349208,,,
111.515,98,413,871.0349212,,,
111.5155,98,401,871.0349214,,,
111.516,94,397,871.0349209,,,
