221.6,99,100,99,99,99,812,1045,1019,1096,1091
227.75,99,97,100,99,98,880,873,834,849,810
237.1,100,100,100,100,100,1098,1084,1169,1019,1057
212.5,100,99,100,98,100,837,891,1029,1056,1115
234.65,99,100,100,100,100,1905,1952,1950,2013,1948
238.25,96,100,100,99,99,1041,1113,1112,1093,1049
238.75,100,99,98,100,98,861,787,744,904,841
229.6,96,99,93,96,92,774,825,755,794,791
229.75,96,88,90,97,91,805,693,754,816,781
229.9,94,90,91,93,92,801,721,748,800,753
230.35,95,95,89,90,87,766,820,757,762,725
231.75,95,96,94,98,95,950,1011,1011,1026,1054
