210,99,100,99,100,100,956,933,944,944,882,344179700
235.5,98,98,100,100,100,925,1023,917,930,934,344179700
218.75,99,100,100,99,100,914,986,985,959,958,344179610
220.15,100,100,100,99,100,979,993,1007,1016,1018,344179610
227.75,99,100,98,100,99,1062,987,1002,887,1031,344179610
210.85,97,100,100,99,98,934,985,944,967,988,344179580
226.9,96,99,76,99,94,889,957,684,980,880,344179550
228.5,97,92,89,94,97,996,891,835,868,890,344179550
229.1,94,90,93,100,98,930,897,808,942,893,344179550
237.5,98,91,97,96,97,945,870,877,958,908,344179550
237.55,89,93,89,92,90,816,876,849,869,828,344179550
238.55,92,90,91,96,95,869,843,797,941,860,344179550
239.1,85,92,77,87,91,808,877,693,847,805,344179550
239.2,99,80,86,98,87,902,738,737,864,794,344179550
239.25,95,91,90,91,97,818,885,917,860,789,344179550
239.35,89,85,99,83,91,785,837,965,786,795,344179550
239.55,85,90,95,94,93,778,836,966,882,847,344179550
239.95,94,94,96,87,89,794,848,893,796,844,344179550
210.35,96,91,89,93,98,906,908,813,856,875,344179520
210.5,86,93,95,92,88,789,864,856,900,790,344179520
210.55,92,87,91,98,91,825,800,835,889,835,344179520
210.75,87,92,82,92,94,871,915,760,843,850,344179520
210.8,90,88,88,89,92,840,856,809,835,878,344179520
210.9,86,96,83,91,86,819,897,728,863,826,344179520
211.25,87,83,91,86,90,772,806,829,749,873,344179520
211.35,91,87,91,88,85,873,795,840,776,760,344179520
211.45,92,88,92,89,87,878,845,843,845,910,344179520
211.55,90,92,88,88,97,864,885,846,802,893,344179520
211.6,88,89,92,93,85,753,863,866,949,819,344179520
211.7,89,91,87,87,88,848,811,784,737,745,344179520
211.75,94,88,86,91,88,901,882,767,875,852,344179520
211.9,85,90,96,88,91,813,828,926,913,885,344179520
212.1,95,96,89,97,95,900,914,748,855,883,344179520
212.15,96,94,97,97,85,862,835,915,811,711,344179520
212.2,93,91,86,87,94,839,858,830,782,857,344179520
212.45,93,89,89,81,90,866,924,844,766,841,344179520
212.9,91,95,88,92,92,822,883,839,852,856,344179520
213.2,94,92,90,92,94,747,814,778,844,853,344179520
214.95,97,90,93,97,94,988,792,867,942,825,344179520
219.1,96,94,94,90,92,923,832,900,813,851,344179520
219.4,94,93,96,98,93,856,923,962,985,845,344179520
220.4,93,90,93,93,93,882,829,862,809,841,344179520
220.75,90,88,94,94,90,825,862,823,867,827,344179520
221.1,92,96,92,84,93,886,932,809,753,847,344179520
221.3,86,91,86,89,92,829,849,816,836,806,344179520
221.35,84,94,89,92,94,767,855,832,786,897,344179520
221.5,91,90,81,97,90,843,832,753,852,841,344179520
221.75,94,96,92,90,82,904,864,901,909,733,344179520
222,93,91,94,94,96,900,875,787,848,834,344179520
222.05,96,96,91,84,91,896,844,784,734,883,344179520
222.3,84,90,90,94,91,744,886,781,846,913,344179520
222.6,83,94,84,93,82,725,862,707,857,698,344179520
222.65,92,85,97,89,92,856,829,891,877,878,344179520
222.85,97,92,92,87,87,882,828,877,749,760,344179520
