137.615,86.0,216.0,871.034923297958
137.6155,90.0,252.0,871.0349230360752
137.616,94.0,248.0,871.0349230360752
137.6165,98.0,249.0,871.0349229807521
137.61700000000002,88.0,241.0,871.0349229807521
137.6175,94.0,240.0,871.0349229807521
137.618,88.0,201.0,871.034923065421
137.6185,86.0,224.0,871.034923065421
137.619,90.0,252.0,871.034923065421
137.61950000000002,86.0,252.0,871.0349227526978
137.62,94.0,256.0,871.0349227526978
137.62050000000002,94.0,253.0,871.0349227683411
137.621,86.0,216.0,871.0349227683411
137.6215,94.0,224.0,871.0349227683411
137.622,84.0,206.0,871.0349232892441
137.6225,88.0,227.0,871.0349232892441
137.62300000000002,90.0,230.0,871.0349232892441
137.6235,78.0,185.0,871.0349229416875
137.624,94.0,227.0,871.0349229416875
137.6245,98.0,241.0,871.0349230757312
