85.035,86,92,78,92,92
85.2,96,92,94,94,84
86.095,88,90,94,86,88
86.935,82,90,98,88,90
87.44,90,92,90,92,92
88.02,88,90,96,94,88
90.4,94,94,100,92,86
90.445,94,94,96,90,100
92.025,92,92,94,98,94
92.635,94,90,90,90,88
92.685,88,86,88,88,94
92.74,68,86,86,88,88
92.8,94,88,92,94,92
92.84,88,98,90,92,90
93.155,92,86,86,92,88
93.245,86,86,88,86,96
93.255,94,96,94,94,94
93.49,88,96,98,70,92
93.5,94,92,98,88,90
93.54,90,66,80,94,92
93.55,70,82,76,88,94
93.615,94,58,68,78,78
93.62,84,90,82,86,92
93.645,90,84,92,90,82
93.66,96,86,68,58,84
93.67,58,70,98,84,92
93.705,82,92,84,86,94
93.71000000000001,94,98,90,96,76
93.755,2,86,82,88,76
