369.52612999999997,227,905
369.52612899999997,230,913
369.52612799999997,231,904
369.526127,242,925
369.526126,268,1025
369.526125,266,1005
369.526124,292,1082
369.526123,347,1250
369.526122,379,1340
369.526121,344,1197
369.52612,428,1433
369.526119,443,1510
369.52611799999994,535,1788
369.52611699999994,542,1854
369.52611599999994,551,1918
369.52611499999995,616,2105
369.52611399999995,620,2228
369.52611299999995,652,2411
369.52611199999996,752,2912
369.52611099999996,763,3056
369.52610999999996,763,3076
369.52610899999996,823,3454
369.52610799999997,800,3575
369.52610699999997,821,3736
369.52610599999997,901,5395
369.526105,912,5333
369.526104,874,4795
369.526103,896,5231
369.526102,906,5988
369.526101,937,7553
369.5261,943,7494
369.526099,928,7391
369.526098,954,8541
369.526097,957,8581
369.52609599999994,941,8284
369.52609499999994,939,8594
369.52609399999994,948,8858
369.52609299999995,948,8113
369.52609199999995,938,8075
369.52609099999995,896,6181
369.52608999999995,719,3438
369.52608899999996,437,1526
369.52608799999996,402,1393
369.52608699999996,127,603
369.52608599999996,94,517
369.52608499999997,110,530
369.52608399999997,72,462
369.52608299999997,77,448
369.526082,65,389
369.526081,68,399
369.52608,43,340
369.526079,45,344
369.526078,38,308
369.526077,43,293
369.526076,44,314
369.526075,38,298
369.526074,38,301
369.52607299999994,33,296
369.52607199999994,34,290
369.52607099999994,31,312
