238.09199999999998,241.754,84.0,82.0,88.0,87.0,0.0,-2.652173913043478
238.093,241.755,85.0,87.0,86.0,89.0,500.0,-3.3157894736842106
238.094,241.756,91.0,89.0,83.0,87.0,0.0,0.0
238.09499999999997,241.75699999999998,88.0,87.0,92.0,93.0,0.0,0.0
238.09599999999998,241.75799999999998,83.0,92.0,91.0,82.0,0.0,0.0
238.09699999999998,241.759,87.0,87.0,87.0,90.0,0.0,0.0
238.09799999999998,241.76,87.0,92.0,87.0,88.0,0.0,0.0
238.099,241.761,91.0,90.0,87.0,91.0,0.0,0.0
238.1,241.762,85.0,85.0,92.0,92.0,0.0,0.0
238.10099999999997,241.76299999999998,87.0,85.0,82.0,91.0,0.0,0.0
238.10199999999998,241.76399999999998,84.0,87.0,93.0,89.0,0.0,0.0
238.10299999999998,241.765,90.0,87.0,87.0,92.0,0.0,0.0
238.10399999999998,241.766,86.0,91.0,94.0,90.0,0.0,0.0
238.105,241.767,90.0,92.0,94.0,90.0,0.0,0.0
238.106,241.768,91.0,92.0,87.0,94.0,0.0,0.0
238.10699999999997,241.76899999999998,90.0,86.0,88.0,87.0,0.0,0.0
238.10799999999998,241.76999999999998,84.0,84.0,86.0,83.0,0.0,0.0
238.10899999999998,241.771,92.0,84.0,83.0,88.0,0.0,0.0
238.10999999999999,241.772,86.0,87.0,90.0,91.0,0.0,0.0
238.111,241.773,86.0,87.0,79.0,91.0,0.0,0.0
238.112,241.774,84.0,84.0,88.0,86.0,0.0,0.0
238.11299999999997,241.77499999999998,85.0,84.0,93.0,88.0,0.0,0.0
238.11399999999998,241.77599999999998,91.0,83.0,88.0,84.0,0.0,0.0
238.11499999999998,241.777,87.0,86.0,87.0,84.0,0.0,0.0
238.11599999999999,241.778,88.0,87.0,93.0,79.0,0.0,0.0
238.117,241.779,90.0,86.0,87.0,88.0,0.0,0.0
238.118,241.78,89.0,85.0,81.0,90.0,0.0,0.0
238.11899999999997,241.78099999999998,79.0,86.0,85.0,84.0,0.0,0.0
238.11999999999998,241.78199999999998,93.0,87.0,79.0,93.0,0.0,0.0
238.12099999999998,241.783,92.0,84.0,90.0,86.0,0.0,0.0
238.12199999999999,241.784,88.0,84.0,89.0,90.0,0.0,0.0
238.123,241.785,88.0,87.0,93.0,81.0,0.0,0.0
238.124,241.786,92.0,84.0,87.0,88.0,0.0,0.0
238.12499999999997,241.78699999999998,89.0,89.0,78.0,80.0,0.0,0.0
238.12599999999998,241.78799999999998,91.0,89.0,87.0,88.0,0.0,0.0
238.12699999999998,241.789,89.0,91.0,87.0,96.0,0.0,0.0
238.128,241.79,89.0,94.0,84.0,83.0,0.0,0.0
238.129,241.791,88.0,86.0,85.0,88.0,0.0,0.0
238.13,241.792,90.0,92.0,80.0,84.0,0.0,0.0
238.13099999999997,241.79299999999998,89.0,85.0,91.0,92.0,0.0,0.0
238.13199999999998,241.79399999999998,84.0,87.0,93.0,87.0,0.0,0.0
238.13299999999998,241.795,89.0,78.0,85.0,85.0,0.0,0.0
238.134,241.796,86.0,82.0,92.0,90.0,0.0,0.0
238.135,241.797,86.0,94.0,89.0,88.0,0.0,0.0
238.136,241.798,87.0,87.0,92.0,83.0,0.0,0.0
238.13699999999997,241.79899999999998,81.0,83.0,88.0,86.0,0.0,0.0
238.13799999999998,241.79999999999998,81.0,78.0,77.0,87.0,0.0,0.0
238.13899999999998,241.801,81.0,76.0,76.0,85.0,0.0,0.0
238.14,241.802,66.0,80.0,74.0,81.0,0.0,0.0
238.141,241.803,66.0,76.0,66.0,78.0,0.0,0.0
238.142,241.804,65.0,67.0,77.0,71.0,0.0,0.0
238.14299999999997,241.80499999999998,81.0,74.0,76.0,56.0,0.0,0.0
238.14399999999998,241.80599999999998,79.0,68.0,84.0,64.0,0.0,0.0
238.14499999999998,241.807,77.0,72.0,79.0,60.0,0.0,0.0
238.146,241.808,71.0,72.0,56.0,64.0,0.0,0.0
238.147,241.809,49.0,75.0,50.0,77.0,0.0,0.0
238.148,241.81,39.0,65.0,37.0,78.0,0.0,0.0
238.14899999999997,241.81099999999998,40.0,69.0,38.0,62.0,0.0,0.0
238.14999999999998,241.81199999999998,48.0,65.0,46.0,64.0,0.0,0.0
238.15099999999998,241.813,52.0,69.0,68.0,64.0,0.0,0.0
238.152,241.814,79.0,62.0,68.0,62.0,0.0,0.0
238.153,241.815,76.0,79.0,79.0,69.0,0.0,0.0
238.154,241.816,79.0,80.0,83.0,67.0,0.0,0.0
238.15499999999997,241.81699999999998,73.0,75.0,81.0,68.0,0.0,0.0
238.15599999999998,241.81799999999998,80.0,78.0,71.0,76.0,0.0,0.0
238.15699999999998,241.819,64.0,76.0,69.0,73.0,0.0,0.0
238.158,241.82,66.0,66.0,69.0,70.0,0.0,0.0
238.159,241.821,73.0,71.0,73.0,63.0,0.0,0.0
238.16,241.822,80.0,70.0,84.0,73.0,0.0,0.0
238.16099999999997,241.82299999999998,74.0,74.0,86.0,74.0,0.0,0.0
238.16199999999998,241.82399999999998,79.0,77.0,86.0,72.0,0.0,0.0
238.16299999999998,241.825,85.0,82.0,85.0,74.0,0.0,0.0
238.164,241.826,78.0,87.0,86.0,79.0,0.0,0.0
238.165,241.827,83.0,80.0,83.0,87.0,0.0,0.0
238.166,241.828,88.0,84.0,88.0,82.0,0.0,0.0
238.16699999999997,241.82899999999998,86.0,86.0,91.0,85.0,0.0,0.0
238.16799999999998,241.82999999999998,90.0,82.0,83.0,90.0,0.0,0.0
238.16899999999998,241.831,85.0,84.0,94.0,82.0,0.0,0.0
