0.0,238.194,91.0,90.0,92.0,88.0,87.0,84.0,89.0,91.0,92.0,87.0,90.0,94.0,95.0,92.0,87.0,95.0,88.0,90.0,92.0,84.0,94.0,90.0,92.0,88.0,92.0,94.0,88.0,86.0,88.0,92.0,87.0,88.0,83.0,88.0,92.0,85.0,89.0,91.0,88.0,83.0,89.0,89.0,87.0,89.0,88.0,80.0,92.0,81.0,74.0,67.0,54.0,65.0,67.0,75.0,79.0,90.0,88.0,85.0,83.0,84.0,86.0,86.0,86.0,93.0,93.0,88.0,93.0,86.0,89.0,94.0,84.0,88.0,85.0,88.0,84.0,89.0,97.0,90.0,93.0,87.0,95.0,89.0,89.0,86.0,85.0,90.0,89.0,88.0,92.0,87.0,84.0,91.0,89.0,89.0,82.0,84.0,80.0,88.0,78.0,90.0,54.0,-3.066666666666667
0.0,241.85299999999998,87.0,89.0,87.0,91.0,92.0,89.0,88.0,89.0,88.0,91.0,89.0,88.0,94.0,85.0,90.0,92.0,90.0,88.0,89.0,82.0,89.0,88.0,92.0,86.0,87.0,85.0,89.0,88.0,91.0,79.0,87.0,88.0,92.0,94.0,94.0,95.0,91.0,86.0,86.0,84.0,86.0,86.0,87.0,85.0,85.0,91.0,89.0,85.0,84.0,90.0,86.0,88.0,77.0,83.0,73.0,74.0,69.0,79.0,74.0,75.0,82.0,79.0,81.0,86.0,86.0,88.0,88.0,89.0,90.0,90.0,85.0,92.0,85.0,87.0,90.0,86.0,92.0,90.0,94.0,94.0,87.0,92.0,85.0,93.0,88.0,91.0,91.0,90.0,89.0,90.0,88.0,88.0,88.0,89.0,96.0,82.0,75.0,86.0,85.0,91.0,69.0,-3.066666666666667
2500.0,238.194,90.0,93.0,89.0,88.0,90.0,90.0,83.0,90.0,87.0,94.0,85.0,88.0,88.0,90.0,92.0,94.0,93.0,90.0,92.0,90.0,85.0,79.0,70.0,87.0,78.0,86.0,88.0,86.0,82.0,86.0,80.0,88.0,90.0,91.0,88.0,89.0,87.0,92.0,87.0,84.0,87.0,89.0,87.0,87.0,88.0,83.0,84.0,87.0,85.0,84.0,73.0,76.0,73.0,79.0,83.0,89.0,82.0,92.0,90.0,86.0,89.0,85.0,86.0,86.0,88.0,87.0,87.0,73.0,88.0,91.0,88.0,89.0,91.0,86.0,92.0,88.0,89.0,96.0,92.0,89.0,85.0,85.0,90.0,89.0,90.0,93.0,93.0,87.0,91.0,86.0,94.0,81.0,90.0,87.0,87.0,88.0,93.0,91.0,91.0,94.0,70.0,-30.0
2500.0,241.85299999999998,95.0,90.0,91.0,89.0,92.0,84.0,93.0,89.0,86.0,86.0,88.0,89.0,91.0,91.0,88.0,86.0,88.0,89.0,96.0,89.0,89.0,87.0,85.0,80.0,87.0,86.0,92.0,91.0,84.0,87.0,89.0,89.0,82.0,88.0,83.0,94.0,89.0,91.0,95.0,89.0,88.0,90.0,82.0,88.0,89.0,86.0,87.0,89.0,89.0,91.0,87.0,85.0,94.0,80.0,80.0,77.0,78.0,84.0,79.0,86.0,83.0,82.0,89.0,83.0,86.0,92.0,76.0,71.0,91.0,98.0,86.0,93.0,91.0,92.0,94.0,88.0,87.0,92.0,88.0,92.0,88.0,90.0,90.0,86.0,88.0,89.0,86.0,92.0,90.0,90.0,95.0,89.0,86.0,93.0,89.0,87.0,94.0,87.0,95.0,92.0,71.0,-30.0
5000.0,238.194,84.0,88.0,90.0,85.0,85.0,81.0,84.0,84.0,89.0,95.0,85.0,85.0,94.0,88.0,92.0,91.0,88.0,94.0,89.0,88.0,86.0,89.0,91.0,95.0,93.0,87.0,89.0,86.0,91.0,81.0,91.0,92.0,88.0,85.0,86.0,88.0,83.0,87.0,89.0,87.0,86.0,91.0,87.0,92.0,93.0,90.0,92.0,89.0,77.0,78.0,83.0,76.0,87.0,83.0,84.0,80.0,85.0,87.0,88.0,86.0,86.0,91.0,88.0,86.0,90.0,93.0,85.0,86.0,88.0,92.0,83.0,85.0,85.0,85.0,91.0,82.0,88.0,90.0,87.0,88.0,92.0,88.0,88.0,85.0,86.0,83.0,83.0,85.0,82.0,87.0,89.0,91.0,91.0,88.0,89.0,91.0,93.0,84.0,84.0,90.0,76.0,-8.0
5000.0,241.85299999999998,87.0,92.0,95.0,89.0,81.0,86.0,89.0,93.0,91.0,94.0,88.0,87.0,89.0,93.0,93.0,91.0,83.0,88.0,92.0,90.0,91.0,89.0,95.0,88.0,90.0,88.0,89.0,82.0,94.0,89.0,92.0,87.0,91.0,92.0,88.0,84.0,88.0,94.0,89.0,91.0,89.0,86.0,92.0,90.0,91.0,88.0,91.0,91.0,81.0,89.0,92.0,94.0,90.0,85.0,89.0,91.0,85.0,79.0,87.0,85.0,85.0,90.0,87.0,88.0,92.0,86.0,91.0,95.0,91.0,94.0,91.0,88.0,91.0,87.0,88.0,91.0,92.0,89.0,95.0,91.0,91.0,84.0,89.0,85.0,93.0,88.0,92.0,87.0,92.0,90.0,89.0,85.0,87.0,89.0,89.0,90.0,94.0,98.0,97.0,90.0,79.0,-8.0
7500.0,238.194,85.0,85.0,89.0,84.0,87.0,81.0,89.0,87.0,88.0,86.0,89.0,88.0,83.0,87.0,91.0,83.0,82.0,92.0,85.0,79.0,85.0,83.0,87.0,85.0,89.0,79.0,84.0,84.0,79.0,91.0,79.0,85.0,78.0,89.0,79.0,87.0,80.0,77.0,90.0,84.0,81.0,81.0,85.0,79.0,81.0,84.0,88.0,81.0,78.0,79.0,78.0,77.0,74.0,76.0,81.0,75.0,83.0,83.0,81.0,79.0,79.0,85.0,83.0,81.0,91.0,92.0,94.0,88.0,88.0,82.0,80.0,87.0,95.0,90.0,84.0,90.0,86.0,87.0,90.0,83.0,78.0,81.0,91.0,97.0,90.0,92.0,95.0,86.0,93.0,83.0,85.0,87.0,91.0,90.0,84.0,92.0,92.0,92.0,84.0,79.0,74.0,inf
7500.0,241.85299999999998,82.0,94.0,83.0,86.0,91.0,89.0,83.0,89.0,79.0,89.0,84.0,87.0,87.0,83.0,93.0,89.0,89.0,82.0,85.0,85.0,84.0,85.0,91.0,90.0,88.0,89.0,93.0,88.0,85.0,89.0,84.0,86.0,86.0,83.0,81.0,91.0,82.0,86.0,88.0,88.0,82.0,89.0,86.0,89.0,83.0,92.0,90.0,89.0,91.0,85.0,90.0,88.0,83.0,86.0,91.0,86.0,88.0,83.0,87.0,83.0,87.0,76.0,85.0,87.0,95.0,93.0,92.0,88.0,79.0,86.0,74.0,95.0,89.0,91.0,91.0,88.0,91.0,90.0,86.0,81.0,89.0,94.0,88.0,93.0,97.0,94.0,93.0,87.0,87.0,86.0,91.0,92.0,96.0,88.0,89.0,89.0,87.0,88.0,89.0,88.0,74.0,inf
10000.0,238.194,94.0,81.0,80.0,86.0,87.0,88.0,86.0,91.0,85.0,94.0,85.0,90.0,93.0,88.0,90.0,88.0,81.0,88.0,90.0,82.0,86.0,84.0,87.0,86.0,90.0,90.0,90.0,91.0,85.0,91.0,87.0,92.0,91.0,85.0,86.0,88.0,94.0,85.0,89.0,86.0,85.0,88.0,89.0,86.0,79.0,85.0,84.0,88.0,86.0,82.0,77.0,77.0,79.0,79.0,86.0,81.0,90.0,84.0,89.0,0.0,0.0,0.0,88.0,90.0,91.0,28.0,0.0,1.0,89.0,40.0,0.0,1.0,78.0,88.0,88.0,83.0,83.0,90.0,93.0,90.0,87.0,87.0,83.0,88.0,85.0,88.0,93.0,83.0,81.0,85.0,87.0,87.0,82.0,73.0,86.0,85.0,82.0,75.0,88.0,91.0,0.0,-1.0
10000.0,241.85299999999998,91.0,88.0,90.0,88.0,85.0,90.0,93.0,92.0,86.0,92.0,88.0,89.0,84.0,90.0,95.0,84.0,94.0,92.0,84.0,88.0,88.0,92.0,93.0,90.0,85.0,88.0,88.0,88.0,88.0,89.0,91.0,86.0,88.0,89.0,85.0,86.0,90.0,93.0,89.0,86.0,88.0,90.0,88.0,94.0,81.0,88.0,87.0,91.0,91.0,94.0,83.0,97.0,86.0,87.0,89.0,84.0,81.0,89.0,1.0,0.0,0.0,1.0,92.0,90.0,89.0,0.0,0.0,0.0,88.0,0.0,0.0,0.0,86.0,87.0,88.0,92.0,94.0,91.0,93.0,89.0,89.0,89.0,91.0,88.0,92.0,91.0,92.0,97.0,91.0,92.0,82.0,92.0,90.0,90.0,88.0,87.0,84.0,92.0,93.0,92.0,0.0,-1.0
