Time(us),Blue,Red,Blue Excitation,Red Excitation,Ratio,871 Lock Point,Mean Ratio,Phonon Number
439,62.5,63.5,37.5,36.5,1.02739726,871.0346676,,36.50000036
440,60,56,40,44,0.909090909,871.0346677,,-10.99999999
441,58.5,62,41.5,38,1.092105263,871.0346674,,10.85714288
442,57,60.5,43,39.5,1.088607595,871.0346674,,11.28571428
443,61,66.5,39,33.5,1.164179104,871.0346675,,6.090909109
444,55.5,64,44.5,36,1.236111111,871.0346677,,4.23529412
445,62,65,38,35,1.085714286,871.034667,,11.66666663
446,55,61.5,45,38.5,1.168831169,871.0346671,,5.923076917
447,64.5,58.5,35.5,41.5,0.855421687,871.0346674,,-6.916666679
448,64.5,64.5,35.5,35.5,1,871.0346672,,#DIV/0!
449,58.5,60.5,41.5,39.5,1.050632911,871.0346673,,19.75000015
450,65,62,35,38,0.921052632,871.0346673,,-12.66666673
451,63,59.5,37,40.5,0.913580247,871.0346673,,-11.57142858
452,67.5,65,32.5,35,0.928571429,871.0346673,,-14.00000008
453,56,61.5,44,38.5,1.142857143,871.0346673,,6.999999993
454,56.5,61,43.5,39,1.115384615,871.0346677,,8.666666696
455,59.5,61.5,40.5,38.5,1.051948052,871.0346673,,19.24999998
456,54,58.5,46,41.5,1.108433735,871.0346674,,9.222222217
457,56,58,44,42,1.047619048,871.0346673,,20.99999983
458,63,62.5,37,37.5,0.986666667,871.0346666,,-75.00000188
459,65,58.5,35,41.5,0.843373494,871.0346677,,-6.384615386
460,65,60,35,40,0.875,871.0346671,,-8
461,61,58.5,39,41.5,0.939759036,871.034667,,-16.59999996
462,64,64,36,36,1,871.0346672,,#DIV/0!
463,62,66.5,38,33.5,1.134328358,871.0346672,,7.444444456
464,60.5,58,39.5,42,0.94047619,871.0346674,,-16.79999987
465,56,56.5,44,43.5,1.011494253,871.0346672,,86.99999904
466,63.5,52,36.5,48,0.760416667,871.0346677,,-4.173913049
467,65,61,35,39,0.897435897,871.0346674,,-9.749999959
468,59,65.5,41,34.5,1.188405797,871.0346675,,5.307692311
469,64.5,66,35.5,34,1.044117647,871.0346675,,22.6666667
470,66.5,64,33.5,36,0.930555556,871.0346674,,-14.40000009
471,62,60,38,40,0.95,871.0346677,,-20
472,56.5,63.5,43.5,36.5,1.191780822,871.0346667,,5.214285712
473,56.5,67.5,43.5,32.5,1.338461538,871.0346673,,2.954545459
474,69.5,61.5,30.5,38.5,0.792207792,871.0346673,,-4.812499995
475,63.5,63.5,36.5,36.5,1,871.0346672,,#DIV/0!
476,62.5,96,37.5,4,9.375,871.0346676,,0.119402985
477,61,85,39,15,2.6,871.0346675,,0.625
478,55.5,68,44.5,32,1.390625,871.0346674,,2.56
479,65,55.5,35,44.5,0.786516854,871.0346679,,-4.684210528
480,61.5,61.5,38.5,38.5,1,871.0346671,,#DIV/0!
481,65,60,35,40,0.875,871.0346674,,-8
482,61,62.5,39,37.5,1.04,871.0346675,,25
483,64,57.5,36,42.5,0.847058824,871.0346674,,-6.538461559
484,64,57.5,36,42.5,0.847058824,871.0346675,,-6.538461559
485,60,61,40,39,1.025641026,871.0346672,,38.99999945
486,62,60.5,38,39.5,0.962025316,871.0346671,,-26.33333302
487,68,53.5,32,46.5,0.688172043,871.0346675,,-3.206896552
488,60,55.5,40,44.5,0.898876404,871.0346675,,-9.888888841
489,63.5,56,36.5,44,0.829545455,871.0346675,,-5.866666682
490,61,60.5,39,39.5,0.987341772,871.0346675,,-78.99999905
491,57,60.5,43,39.5,1.088607595,871.0346674,,11.28571428
492,66,58,34,42,0.80952381,871.0346673,,-5.250000013
493,60.5,54,39.5,46,0.858695652,871.0346672,,-7.076923068
494,62.5,59,37.5,41,0.914634146,871.0346673,,-11.71428567
495,62.5,57.5,37.5,42.5,0.882352941,871.0346671,,-8.499999987
496,61.5,56.5,38.5,43.5,0.885057471,871.0346676,,-8.69999998
497,62.5,64.5,37.5,35.5,1.056338028,871.0346677,,17.75000005
498,62,60,38,40,0.95,871.034667,,-20
499,68,57,32,43,0.744186047,871.0346672,,-3.909090917
